id,name,degree,peel,diversity,betweenness,pagerank
239,Gerald Gower,0.0,0.0,0.0,0.0,0.003113693778387677
240,Gerold Dayne,0.03305785123966942,0.3333333333333333,0.4277220454074463,4.752247584083292e-05,0.012915581837332152
241,Gerold Grafton,0.0,0.0,0.0,0.0,0.004303888011987232
242,Gerold Hightower,0.05785123966942149,0.3333333333333333,0.6058199147277211,0.04370062256004879,0.02483674676710218
243,Gerrick Kingsblood,0.008264462809917356,0.0,0.2810395886048937,0.013094565771054514,0.009555151129469721
244,Gerris Drinkwater,0.06611570247933884,0.25,0.5283445755430721,0.013829821233250411,0.044915027820758506
245,Ghael,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.004850548138462316
246,Gilly,0.10743801652892562,0.5833333333333334,0.5480867959505417,0.005857340338274665,0.06998402410795115
247,Gilwood Hunter,0.03305785123966942,0.25,0.20289037484789482,0.0014335027312671136,0.013470387608383226
248,Godric Borrell,0.0,0.0,0.0,0.0,0.0027706183950695676
249,Godry Farring,0.049586776859504134,0.3333333333333333,0.6283838213820696,0.005259613776042239,0.011896671624799321
250,Goghor the Giant,0.024793388429752067,0.25,0.22800127035195036,5.5173958807538765e-06,0.014201212584891215
251,Gormon Tyrell,0.0,0.0,0.0,0.0,0.004591691391798373
252,Gormond Goodbrother,0.0,0.0,0.0,0.0,0.0035544323397535384
253,Gorne,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.004804126420065591
254,Gorold Goodbrother,0.008264462809917356,0.08333333333333333,0.0,0.0,0.008654338670478039
255,Grazdan mo Eraz,0.0,0.0,0.0,0.0,0.001197635237641289
256,Grazhar,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.00019571140105315637,0.00633373190620513
257,Greenbeard,0.049586776859504134,0.4166666666666667,0.5177791854623661,2.977311739425677e-05,0.014502573248581426
258,Gregor Clegane,0.2644628099173554,1.0,0.6741717063782788,0.02855452243763547,0.11304920141256188
259,Grenn,0.11570247933884298,0.5833333333333334,0.5424415259300956,0.002470757541577482,0.0842521775435966
260,Gretchel,0.024793388429752067,0.25,0.4215593827046134,6.246108544249672e-05,0.009522596736787138
261,Grey Worm,0.05785123966942149,0.5833333333333334,0.2982611674018102,0.00016968594878544942,0.01850013992751729
262,Greydon Goodbrother,0.0,0.0,0.0,0.0,0.002123110115331899
263,Grigg,0.01652892561983471,0.16666666666666666,0.4454372090086314,5.5173958807538765e-06,0.007381926979341601
264,Grimtongue,0.024793388429752067,0.16666666666666666,0.4215593827046134,0.006616893162707692,0.018654738060732853
265,Grisel,0.0,0.0,0.0,0.0,8.280935558565567e-05
266,Groleo,0.04132231404958678,0.3333333333333333,0.5037581929064822,0.00018582172919142772,0.01095160774025642
267,Grunt,0.01652892561983471,0.16666666666666666,0.25807748313688406,0.0,0.007518965470443528
268,Guncer Sunglass,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0016977890888555385
269,Gunthor son of Gurn,0.0,0.0,0.0,0.0,0.001176665135341858
270,Guyard Morrigen,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.005663477830021706
271,Gyles Grafton,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.008885883550034255
272,Gyles Rosby,0.14049586776859505,0.75,0.7797167734879653,0.00216240798310969,0.029963175767536047
273,Gynir,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.00041953029055543625,0.0084042758376816
